Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
0.000000000000000, 1, 0, 0, 1, 1, 0, 1, 1
0.000020000000000, 1, 0, 0, 1, 1, 1, 1, 1
0.000060000000000, 1, 0, 1, 0, 0, 0, 1, 1
0.000100000000000, 1, 0, 1, 0, 1, 0, 1, 1
0.000140000000000, 1, 0, 1, 1, 0, 0, 1, 1
0.000180125000000, 1, 0, 1, 1, 0, 1, 1, 1
0.000220125000000, 1, 0, 1, 1, 1, 0, 1, 1
0.000260125000000, 1, 1, 0, 0, 0, 0, 1, 1
0.000300125000000, 1, 1, 0, 0, 1, 0, 1, 1
0.000340125000000, 1, 1, 0, 0, 1, 1, 1, 1
0.000380125000000, 1, 1, 0, 1, 0, 1, 1, 1
0.000420125000000, 1, 1, 0, 1, 1, 0, 1, 1
0.000460125000000, 1, 1, 1, 0, 0, 0, 1, 1
0.000500125000000, 1, 1, 1, 0, 0, 1, 1, 1
0.000580250000000, 1, 1, 1, 0, 1, 0, 1, 1
0.000620250000000, 1, 1, 1, 1, 0, 0, 1, 1
0.000660250000000, 1, 1, 1, 1, 0, 1, 1, 1
0.000700250000000, 1, 1, 1, 1, 1, 0, 1, 1
0.000780250000000, 1, 1, 1, 1, 0, 1, 1, 1
0.000860250000000, 1, 1, 1, 1, 1, 1, 1, 1
0.000940375000000, 0, 0, 0, 0, 0, 0, 1, 1
0.000980375000000, 1, 1, 1, 1, 1, 1, 1, 1
0.001060375000000, 1, 1, 1, 1, 1, 0, 1, 1
0.001100375000000, 1, 1, 1, 1, 0, 1, 1, 1
0.001140375000000, 1, 1, 1, 1, 0, 0, 1, 1
0.001180375000000, 1, 1, 1, 0, 1, 1, 1, 1
0.001220375000000, 1, 1, 1, 0, 1, 0, 1, 1
0.001260375000000, 1, 1, 1, 0, 0, 1, 1, 1
0.001300375000000, 1, 1, 1, 0, 0, 0, 1, 1
0.001340500000000, 1, 1, 0, 1, 1, 0, 1, 1
0.001380500000000, 1, 1, 0, 1, 0, 1, 1, 1
0.001420500000000, 1, 1, 0, 1, 0, 0, 1, 1
0.001460500000000, 1, 1, 0, 0, 1, 0, 1, 1
0.001500500000000, 1, 1, 0, 0, 0, 0, 1, 1
0.001540500000000, 1, 0, 1, 1, 1, 1, 1, 1
0.001580500000000, 1, 0, 1, 1, 0, 1, 1, 1
0.001620500000000, 1, 0, 1, 1, 0, 0, 1, 1
0.001660500000000, 1, 0, 1, 0, 1, 0, 1, 1
0.001700625000000, 1, 0, 1, 0, 0, 1, 1, 1
0.001740625000000, 1, 0, 0, 1, 1, 1, 1, 1
0.001780625000000, 1, 0, 0, 1, 1, 0, 1, 1
0.001820625000000, 1, 0, 0, 1, 0, 1, 1, 1
0.001860625000000, 1, 0, 0, 1, 0, 0, 1, 1
0.001900625000000, 1, 0, 0, 0, 1, 1, 1, 1
0.001940625000000, 1, 0, 0, 0, 1, 0, 1, 1
0.001980625000000, 1, 0, 0, 0, 0, 1, 1, 1
0.002060625000000, 1, 0, 0, 0, 0, 0, 1, 1
0.002340750000000, 1, 0, 0, 0, 0, 1, 1, 1
0.002380750000000, 1, 0, 0, 0, 1, 0, 1, 1
0.002420750000000, 1, 0, 0, 0, 1, 1, 1, 1
0.002460750000000, 1, 0, 0, 1, 0, 0, 1, 1
0.002500875000000, 1, 0, 0, 1, 0, 1, 1, 1
0.002540875000000, 1, 0, 0, 1, 1, 0, 1, 1
0.002580875000000, 1, 0, 0, 1, 1, 1, 1, 1
0.002620875000000, 1, 0, 1, 0, 0, 0, 1, 1
0.002660875000000, 1, 0, 1, 0, 1, 0, 1, 1
0.002700875000000, 1, 0, 1, 0, 1, 1, 1, 1
0.002740875000000, 1, 0, 1, 1, 0, 1, 1, 1
0.002780875000000, 1, 0, 1, 1, 1, 0, 1, 1
0.002820875000000, 1, 1, 0, 0, 0, 0, 1, 1
0.002861000000000, 1, 1, 0, 0, 1, 0, 1, 1
0.002901000000000, 1, 1, 0, 0, 1, 1, 1, 1
0.002941000000000, 1, 1, 0, 1, 0, 1, 1, 1
0.002981000000000, 1, 1, 0, 1, 1, 0, 1, 1
0.003021000000000, 1, 1, 1, 0, 0, 0, 1, 1
